Type,DSI Name,Citation impact
Clinical-driven,"Univ Oxford, Big Data Inst",70.26421770401106
Clinical-driven,"Dana Farber Canc Inst, Dept Data Sci",69.19222232142857
Clinical-driven,"Stanford Univ, Dept Biomed Data Sci",69.09757038413879
Clinical-driven,"NCI, Canc Data Sci Lab",67.43112719298246
Clinical-driven,"Icahn Sch Med Mt Sinai, Icahn Inst Data Sci & Genom Technol",67.36811237623762
Clinical-driven,"Chinese Univ Hong Kong, Stanley Ho Big Data Decis Analyt Res Ctr",66.3508922330097
Clinical-driven,"Univ Chicago, Ctr Spatial Data Sci",64.13678103448275
Clinical-driven,"Univ Liverpool, Dept Hlth Data Sci",60.73917522123894
Clinical-driven,"Beihang Univ, Beijing Adv Innovat Ctr Big Data Based Precis Med",59.992355667506295
Clinical-driven,"Univ Manchester, Div Informat Imaging & Data Sci",59.4492656626506
Clinical-driven,"Leiden Univ, Dept Biomed Data Sci",58.59893292929293
Clinical-driven,"China Pharmaceut Univ, Big Data Res Inst",57.53796034482759
Clinical-driven,"Univ Michigan, Michigan Inst Data Sci",57.43273235294118
Clinical-driven,"Dartmouth Coll, Dept Biomed Data Sci",56.680993258426966
Clinical-driven,"Geisel Sch Med Dartmouth, Dept Biomed Data Sci",56.57733275862069
Clinical-driven,"Royal Coll Surgeons Ireland, Data Sci Ctr",56.235992424242426
Clinical-driven,"Taipei Med Univ Hosp, Clin Big Data Res Ctr",55.733289
Clinical-driven,"Univ Texas Southwestern Med Ctr Dallas, Dept Populat & Data Sci",54.475377448071214
Clinical-driven,"Sichuan Univ, Med Big Data Ctr",53.73448870967742
Clinical-driven,"Vrije Univ Amsterdam, Dept Epidemiol & Data Sci",53.69598048780488
Clinical-driven,"Natl Hlth Insurance Serv, Big Data Steering Dept",53.565241891891894
Clinical-driven,"Natl Cerebral & Cardiovasc Ctr, Dept Data Sci",53.357752
Clinical-driven,"UNSW Sydney, Ctr Big Data Res Hlth",52.898294594594596
Clinical-driven,"Wake Forest Sch Med, Dept Biostat & Data Sci",52.77604153846154
Clinical-driven,"Univ New South Wales, Ctr Big Data Res Hlth",52.41911235059761
Clinical-driven,"Sichuan Univ, West China Biomed Big Data Ctr",51.88214155844156
Clinical-driven,"Swinburne Univ Technol, Dept Stat Data Sci & Epidemiol",51.29234838709677
Clinical-driven,"Fu Jen Catholic Univ, Big Data Res Ctr",50.935160655737704
Clinical-driven,"Leiden Univ Med Ctr, Dept Biomed Data Sci",50.707260416666664
Clinical-driven,"Amsterdam UMC, Dept Epidemiol & Data Sci",50.58055
Clinical-driven,"Chang Gung Mem Hosp, Ctr Big Data Analyt & Stat",50.552372727272726
Clinical-driven,"Hasselt Univ, Data Sci Inst",50.3482474137931
Clinical-driven,"Yokohama City Univ, Sch Data Sci",49.665859375
Clinical-driven,"Univ Amsterdam, Dept Epidemiol & Data Sci",49.576901123595505
Clinical-driven,"Univ Missouri, Inst Data Sci & Informat",49.34514736842105
Clinical-driven,"Peking Univ, Natl Inst Hlth Data Sci",49.311395726495725
Clinical-driven,"Providence Univ, Dept Data Sci & Big Data Analyt",48.65483703703704
Clinical-driven,"UT Southwestern Med Ctr, Dept Populat & Data Sci",47.42073166666667
Clinical-driven,"Indiana Univ Sch Med, Dept Biostat & Hlth Data Sci",46.38526126126126
